Stereorhachis_dominans	(302 :293.5)												
Archaeothyris_florensis	(309:303.7)												
Saurorictus_australis	(259.8:254.2)	S268.8											
Captorhinus_magnus	(275:274)												
Captorhinus_aguti	(275:274)												
Captorhinus_laticeps	(283:280)	(280:276)											
Captorhinikos_chozaensis	(274:272.3)	(274:272.3)											
Captorhinikos_parvus	(276:272.3)												
Captorhinikos_valensis	(274:273)												
Labidosaurus_hamatus	(275:274)												
Labidosaurikos_meachami	(275:272.3)												
Moradisaurus_grandis	(298.9:252.2)	S268.8											
Rothianiscus_multidonta	(272.3:270)												
Rothianiscus_robusta	(270:267)	S268.8											
Gansurhinus_qingtoushanensis	(272:260)	S268.8											
Brouffia_orientalis	(310:307)												
Paleothyris_acadiana	(310:307)												
Hylonomus_lyelli	(319:317) 												
Cephalerpeton_ventriarmatum	(309.5:308)	(308.5:307)											
Protorothyris_morani	(298:284)												
Protorothyris_archeri	(294:290.1)												
Anthracodromeus_longipes	(308.5:307)												
Petrolacosaurus_kansensis	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)					
Araeoscelis_gracilis	(277:274)												
Spinoaequalis_schultzei	(304:301)												
Eosuchia	S268.8												
